"","card","reports","age","income","expenditure","owner","selfemp","dependents","majorcards","active","years"
"1",1,0,38,45200,124.9833,1,0,3,1,12,4
"2",1,0,33,24200,9.854167,0,0,3,1,13,3
"3",1,0,34,45000,15,1,0,4,1,5,5
"4",1,0,30,25400,137.8692,0,0,0,1,7,2
"5",1,0,32,97867,546.5033,1,0,2,1,5,5
"6",1,0,23,25000,91.99667,0,0,0,1,1,4
"7",1,0,28,39600,40.83333,0,0,2,1,5,1
"8",1,0,29,23700,150.79,1,0,0,1,3,6
"9",1,0,37,38000,777.8217,1,0,0,1,6,8
"10",1,0,28,32000,52.58,0,0,0,1,18,5
"11",1,0,30,39500,256.6642,1,0,1,1,20,2
"12",0,0,42,19800,0,1,0,2,1,0,3
"13",0,0,30,17300,0,1,0,1,0,12,4
"14",1,0,29,24500,78.87417,1,0,0,1,3,2
"15",1,0,35,19080,42.615,1,0,2,0,5,10
"16",1,0,41,32000,335.435,1,0,1,1,22,14
"17",1,0,40,40000,248.7192,1,0,2,1,0,8
"18",0,7,30,30000,0,1,0,2,1,8,5
"19",1,0,40,99999,548.035,1,1,0,1,0,2
"20",0,3,46,34000,0,0,0,0,1,10,2
"21",1,0,35,23500,43.33917,1,0,2,1,1,10
"22",0,1,25,18750,0,0,0,2,0,2,1
"23",1,0,34,20000,218.52,1,0,0,1,0,1
"24",1,1,36,40000,170.6408,0,0,2,1,22,2
"25",1,0,43,51400,37.58333,1,0,2,1,17,1
"26",1,0,30,45060,502.2017,0,0,2,1,7,3
"27",0,0,22,38400,0,0,1,1,0,1,1
"28",1,0,22,15000,73.17667,0,0,0,1,6,5
"29",0,0,34,25000,0,1,0,1,1,0,1
"30",1,0,40,55000,1532.773,1,0,4,1,19,6
"31",1,0,22,20272,42.69083,0,0,0,0,5,1
"32",1,1,29,32000,417.835,0,0,0,1,6,1
"33",0,1,25,31500,0,1,0,1,1,5,3
"34",1,0,21,24663,552.7242,1,0,1,1,10,1
"35",1,0,24,30000,222.5392,0,0,0,1,5,1
"36",1,0,43,35412,541.2958,1,0,6,1,15,9
"37",0,0,43,22845,0,0,0,2,1,0,4
"38",1,0,37,57000,568.7742,1,0,1,1,16,3
"39",1,0,27,35000,344.4708,0,0,0,1,14,0
"40",1,0,28,46000,405.3517,1,0,4,1,13,2
"41",1,0,26,30000,310.9375,1,0,0,1,10,1
"42",1,0,23,25850,53.645,0,0,0,1,1,1
"43",1,0,30,15100,63.91667,0,0,1,0,1,1
"44",1,0,30,18500,165.855,0,0,0,1,12,5
"45",1,0,38,26000,9.583333,0,0,0,1,1,1
"46",0,0,28,18000,0,0,1,2,1,2,2
"47",1,0,36,20000,319.49,0,0,0,1,4,13
"48",0,0,38,32628,0,0,0,1,0,1,8
"49",1,0,26,23500,83.08334,0,0,1,0,2,2
"50",1,0,28,70000,644.8283,1,0,0,1,13,0
"51",0,0,50,36000,0,0,0,2,0,0,1
"52",1,0,24,20000,93.1975,0,0,0,1,12,2
"53",1,0,21,17000,105.045,0,0,0,1,4,0
"54",1,0,24,28000,34.125,0,0,2,1,8,4
"55",1,0,26,24000,41.18917,0,0,0,1,2,3
"56",1,1,33,30000,169.8883,0,0,0,0,5,18
"57",1,0,34,48000,1898.033,0,0,3,1,1,1
"58",1,0,33,31800,810.3917,0,0,4,0,3,2
"59",0,0,45,18000,0,0,0,2,0,0,3
"60",1,0,21,15000,32.775,0,0,0,1,4,2
"61",1,2,25,30000,95.79916,0,0,0,0,4,1
"62",1,0,27,22800,27.78,0,0,3,1,5,3
"63",1,0,26,28000,215.0692,0,0,1,1,16,1
"64",1,0,22,27000,79.51083,0,0,0,1,0,0
"65",0,3,27,49000,0,1,0,2,1,15,1
"66",0,0,26,25000,0,0,1,0,0,0,2
"67",1,0,41,60000,306.0317,0,1,2,1,16,15
"68",1,0,42,39000,104.5358,0,0,0,1,2,6
"69",0,0,22,51000,0,0,0,0,1,0,2
"70",1,0,25,30740,642.4742,0,0,0,1,0,0
"71",1,0,31,24585,308.0492,1,0,2,1,16,4
"72",1,0,27,20000,186.3533,0,0,0,1,5,1
"73",1,0,33,32480,56.14917,0,0,2,0,2,12
"74",1,0,37,27250,129.3733,0,0,2,1,14,1
"75",1,0,27,22000,93.10667,0,0,0,1,10,12
"76",0,1,24,41000,0,0,0,1,0,4,0
"77",1,0,24,37500,292.6633,0,0,0,1,11,2
"78",1,0,25,28800,98.46416,0,0,0,1,0,1
"79",1,0,33,25500,101.6833,0,0,2,1,18,0
"80",0,0,33,40000,0,0,0,2,1,0,2
"81",1,1,55,26400,65.24667,1,0,1,1,19,6
"82",1,0,20,16500,108.6075,0,0,0,1,8,3
"83",1,0,29,24000,49.55583,0,0,0,1,4,2
"84",0,3,40,37099,0,0,0,2,1,11,1
"85",1,0,41,72400,235.5717,1,0,2,1,13,15
"86",0,0,41,43860,0,1,0,3,1,9,14
"87",0,0,34,33000,0,1,0,2,0,18,3
"88",0,0,24,23040,0,0,0,1,1,0,1
"89",0,1,54,41800,0,0,0,1,1,2,24
"90",0,2,34,24875,0,0,0,1,1,3,7
"91",0,0,45,28055,0,1,0,5,1,0,0
"92",1,0,43,24000,68.38417,0,0,0,1,0,1
"93",0,4,35,15000,0,0,0,1,1,9,1
"94",0,2,36,84000,0,0,0,2,1,12,6
"95",1,0,22,15600,0,0,0,0,1,2,1
"96",1,1,33,60000,474.15,1,0,0,1,6,4
"97",1,1,25,36000,234.0483,0,0,2,1,4,1
"98",1,0,26,50000,451.205,1,0,0,1,16,0
"99",1,0,46,55000,251.5208,1,0,2,1,7,13
"100",1,1,35,99999,917.54,1,0,0,1,29,6
"101",0,0,35,45500,0,1,0,3,1,15,3
"102",0,0,21,29000,0,0,0,0,1,3,3
"103",1,0,25,18000,147.7233,0,0,0,0,9,0
"104",1,0,31,42000,166.7267,1,0,0,1,0,4
"105",1,0,23,39200,741.5042,0,0,0,1,0,1
"106",1,0,23,36250,106.1692,0,0,1,0,6,4
"107",1,0,25,24800,271.4675,0,0,0,1,0,2
"108",1,0,41,99999,635.0508,1,0,3,1,17,10
"109",1,0,44,100393,182.825,1,0,1,1,18,1
"110",1,0,23,29500,89.37083,1,0,0,1,17,1
"111",1,0,42,50000,1011.333,0,0,1,1,5,3
"112",1,0,28,24000,227.3683,0,0,0,1,29,0
"113",1,0,46,135000,115.4167,1,0,2,1,9,10
"114",0,3,26,40000,0,0,0,0,0,5,3
"115",1,1,37,39000,297.9717,0,0,0,1,4,4
"116",1,1,38,20000,101.2625,1,0,3,1,3,4
"117",1,0,30,21500,56.69417,0,0,0,1,4,1
"118",1,0,21,30000,77.35667,0,0,2,0,2,2
"119",1,0,40,43000,122.515,0,0,0,1,4,9
"120",0,4,23,99999,0,0,0,2,1,5,2
"121",1,0,22,25000,13.4025,0,0,0,1,3,3
"122",1,0,22,30000,127.5342,0,0,0,1,11,10
"123",1,0,41,26000,8.333333,1,0,0,1,3,4
"124",1,1,19,16600,78.42834,1,0,0,1,2,4
"125",1,0,34,45000,11.16667,1,1,4,1,6,2
"126",1,0,25,50000,131.8783,0,0,0,1,16,3
"127",1,0,20,17400,277.9892,0,0,0,1,11,1
